# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x1403f2d30	0x1403f2f60	+0x230	nearest-anchor delta +0x230, 65 shape candidates
0x1403f36e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f36f0	0x1403f3920	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f37c0	0x1403f39f0	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f3880	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f3960	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f3a70	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f3a80	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f3a90	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f3b90	0x1403f3dc0	+0x230	unique, 40B signature, 26B fixed
0x1403f3ca0	0x1403f3ed0	+0x230	unique, 40B signature, 28B fixed
0x1403f3d30	0x1403f3f60	+0x230	unique, 41B signature, 25B fixed
0x1403f40b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f40c0	0x1403f42f0	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f40e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4290	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f42a0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4530	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f45a0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f45f0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4600	0x1403f4830	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f47e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4870	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4880	0x1403f4ab0	+0x230	nearest-anchor delta +0x230, 2 shape candidates
0x1403f48c0	0x1403f4af0	+0x230	unique, 38B signature, 22B fixed
0x1403f4b50	0x1403f4d80	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f4b60	0x1403f4d90	+0x230	nearest-anchor delta +0x230, 513 shape candidates
0x1403f4b70	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4b80	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4b90	0x1403f4dc0	+0x230	nearest-anchor delta +0x230, 3 shape candidates
0x1403f4bc0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4bd0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f4ca0	0x1403f4ed0	+0x230	nearest-anchor delta +0x230, 140 shape candidates
0x1403f4f90	0x1403f51c0	+0x230	nearest-anchor delta +0x230, 44 shape candidates
0x1403f5320	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f5530	0x1403f5760	+0x230	nearest-anchor delta +0x230, 13 shape candidates
0x1403f5560	0x1403f5790	+0x230	unique, 42B signature, 33B fixed
0x1403f5790	0x1403f59c0	+0x230	unique, 41B signature, 33B fixed
0x1403f5b10	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f5b70	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f5b80	0x1403f5db0	+0x230	unique, 15B signature, 7B fixed
0x1403f5c40	0x1403f5e70	+0x230	nearest-anchor delta +0x230, 140 shape candidates
0x1403f5c60	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f6350	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f7120	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f7200	0x1403f7430	+0x230	nearest-anchor delta +0x230, 140 shape candidates
0x1403f73b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f73d0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f76e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f76f0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f77f0	0x1403f7a20	+0x230	unique, 44B signature, 30B fixed
0x1403f7b10	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f7f50	0x1403f8180	+0x230	nearest-anchor delta +0x230, 3 shape candidates
0x1403f8410	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f8db0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403f9f30	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403fa180	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403fa1d0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403fa210	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403fa2e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403fa850	0x1403faa80	+0x230	unique, 44B signature, 28B fixed
0x1403fce20	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403fcf80	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403fcf90	0x1403fd1c0	+0x230	unique, 41B signature, 26B fixed
0x1403fd0f0	0x1403fd320	+0x230	unique, 41B signature, 29B fixed
0x1403fdec0	0x1403fe0f0	+0x230	nearest-anchor delta +0x230, 65 shape candidates
0x1403fe4f0	0x1403fe720	+0x230	nearest-anchor delta +0x230, 65 shape candidates
0x1403fea60	0x1403fec90	+0x230	nearest-anchor delta +0x230, 3 shape candidates
0x1403fea80	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x230)
0x1403feeb0	0x1403ff0e0	+0x230	unique, 40B signature, 27B fixed
0x1403ff160	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x2f0)
0x1403ff260	0x1403ff550	+0x2f0	unique, 40B signature, 30B fixed
0x1403ff820	0x1403ffb10	+0x2f0	unique, 40B signature, 25B fixed
0x140400960	0x140400c50	+0x2f0	unique, 14B signature, 8B fixed
0x140401110	0x140401400	+0x2f0	unique, 43B signature, 27B fixed
0x140401170	0x140401460	+0x2f0	unique, 40B signature, 25B fixed
0x1404011c0	0x1404014b0	+0x2f0	unique, 42B signature, 26B fixed
0x140401250	0x140401540	+0x2f0	unique, 40B signature, 28B fixed
0x140401300	-	-	UNRESOLVED: 3 shape matches, none at the nearest anchor's delta (+0x2f0)
0x140401540	0x1404018a0	+0x360	unique, 45B signature, 28B fixed
0x1404016d0	0x140401a30	+0x360	nearest-anchor delta +0x360, 111 shape candidates
0x140401bd0	0x140401f30	+0x360	unique, 45B signature, 25B fixed
0x140401c70	0x140401fd0	+0x360	unique, 40B signature, 25B fixed
0x140401cf0	-	-	UNRESOLVED: 5 shape matches, none at the nearest anchor's delta (+0x360)
0x140401d80	0x1404020f0	+0x370	unique, 43B signature, 32B fixed
0x1404021a0	0x140402510	+0x370	unique, 42B signature, 33B fixed
0x1404023f0	0x140402760	+0x370	unique, 41B signature, 27B fixed
0x1404024a0	0x140402810	+0x370	nearest-anchor delta +0x370, 513 shape candidates
0x140436460	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1404364b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140436cf0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437130	-	-	UNRESOLVED: 463 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437140	-	-	UNRESOLVED: 463 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437150	-	-	UNRESOLVED: 463 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437160	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437170	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437320	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437350	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437380	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x140437390	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1404373a0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1404377f0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x1404398a0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (no anchor nearby)
0x141ec11f0	0x141ec2ff0	+0x1e00	unique, 40B signature, 32B fixed
0x141ec1250	0x141ec3050	+0x1e00	unique, 39B signature, 29B fixed
