# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x1403ce880	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403ce890	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403ce8a0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403ce8b0	0x1403ce8c0	+0x10	unique, 36B signature, 26B fixed
0x1403ce8e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403ce940	0x1403ce950	+0x10	nearest-anchor delta +0x10, 37 shape candidates
0x1403ce960	0x1403ce970	+0x10	nearest-anchor delta +0x10, 37 shape candidates
0x1403ce980	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403ce990	0x1403ce9a0	+0x10	unique, 41B signature, 29B fixed
0x1403cea70	0x1403cea80	+0x10	nearest-anchor delta +0x10, 80 shape candidates
0x1403cea90	0x1403ceaa0	+0x10	unique, 46B signature, 32B fixed
0x1403ceae0	0x1403ceaf0	+0x10	nearest-anchor delta +0x10, 80 shape candidates
0x1403ceb00	0x1403ceb10	+0x10	nearest-anchor delta +0x10, 80 shape candidates
0x1403ceb20	0x1403ceb30	+0x10	nearest-anchor delta +0x10, 80 shape candidates
0x1403ceb40	0x1403ceb50	+0x10	unique, 46B signature, 27B fixed
0x1403cebb0	0x1403cebc0	+0x10	unique, 40B signature, 22B fixed
0x1403cec00	0x1403cec10	+0x10	nearest-anchor delta +0x10, 66 shape candidates
0x1403cf280	0x1403cf290	+0x10	nearest-anchor delta +0x10, 80 shape candidates
0x1403cf2a0	0x1403cf2b0	+0x10	unique, 42B signature, 26B fixed
0x1403cf340	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d0890	0x1403d08a0	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403d3020	0x1403d3030	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403d3070	0x1403d3080	+0x10	nearest-anchor delta +0x10, 35 shape candidates
0x1403d3100	0x1403d3110	+0x10	nearest-anchor delta +0x10, 180 shape candidates
0x1403d31c0	0x1403d31d0	+0x10	nearest-anchor delta +0x10, 513 shape candidates
0x1403d31d0	0x1403d31e0	+0x10	nearest-anchor delta +0x10, 13 shape candidates
0x1403d31e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d31f0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d3200	0x1403d3210	+0x10	nearest-anchor delta +0x10, 7 shape candidates
0x1403d3240	0x1403d3250	+0x10	nearest-anchor delta +0x10, 14 shape candidates
0x1403d3410	0x1403d3420	+0x10	nearest-anchor delta +0x10, 7 shape candidates
0x1403d3450	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d3460	0x1403d3470	+0x10	unique, 44B signature, 28B fixed
0x1403d34b0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d34c0	0x1403d34d0	+0x10	nearest-anchor delta +0x10, 17 shape candidates
0x1403d34d0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d34e0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d34f0	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
0x1403d3500	-	-	UNRESOLVED: 513 shape matches, none at the nearest anchor's delta (+0x10)
