# 1.16.2 VA	1.17 VA	delta	method-or-error
# Generated by scripts/map-rvas-1162-to-1170.py. Candidates, not verified hook sites: a match on an unchanged prologue does not prove the body is
# unchanged. Regenerate rather than hand-editing.
0x1403ce8e0	0x1403ce8f0	vtable slot
0x1403ce940	0x1403ce950	vtable slot
0x1403ce960	0x1403ce970	vtable slot
0x1403ce980	0x1403ce990	vtable slot
0x1403ce990	0x1403ce9a0	vtable slot
0x1403cea70	0x1403cea80	vtable slot
0x1403cea90	0x1403ceaa0	vtable slot
0x1403ceae0	0x1403ceaf0	vtable slot
0x1403ceb00	0x1403ceb10	vtable slot
0x1403ceb20	0x1403ceb30	vtable slot
0x1403ceb40	0x1403ceb50	vtable slot
0x1403cebb0	0x1403cebc0	vtable slot
0x1403cec00	0x1403cec10	vtable slot
0x1403cf280	0x1403cf290	vtable slot
0x1403cf2a0	0x1403cf2b0	vtable slot
0x1403cf340	0x1403cf350	vtable slot
0x1403d0890	0x1403d08a0	vtable slot
0x1403d3020	0x1403d3030	vtable slot
0x1403d3070	0x1403d3080	vtable slot
0x1403d3100	0x1403d3110	vtable slot
0x1403d31c0	0x1403d31d0	vtable slot
0x1403d31d0	0x1403d31e0	vtable slot
0x1403d31e0	0x1403d31f0	vtable slot
0x1403d31f0	0x1403d3200	vtable slot
0x1403d3200	0x1403d3210	vtable slot
0x1403d3240	0x1403d3250	vtable slot
0x1403d3410	0x1403d3420	vtable slot
0x1403d3450	0x1403d3460	vtable slot
0x1403d3460	0x1403d3470	vtable slot
0x1403d34b0	0x1403d34c0	vtable slot
0x1403d34c0	0x1403d34d0	vtable slot
0x1403d34d0	0x1403d34e0	vtable slot
0x1403d34e0	0x1403d34f0	vtable slot
0x1403d34f0	0x1403d3500	vtable slot
0x1403d3500	0x1403d3510	vtable slot
0x1403d3510	0x1403d3520	vtable slot
0x1403d3520	0x1403d3530	vtable slot
0x1403d3540	0x1403d3550	vtable slot
0x1403d3550	0x1403d3560	vtable slot
0x1403d3560	0x1403d3570	vtable slot
0x1403d3570	0x1403d3580	vtable slot
0x1403d3580	0x1403d3590	vtable slot
0x1403d3640	0x1403d3650	vtable slot
0x1403d3700	0x1403d3710	vtable slot
0x1403d3710	0x1403d3720	vtable slot
0x1403d37d0	0x1403d37e0	vtable slot
0x1403d3aa0	0x1403d3ab0	vtable slot
0x1403d3b00	0x1403d3b10	vtable slot
0x1403d4280	0x1403d4290	vtable slot
0x1403d4410	0x1403d4420	vtable slot
0x1403d4970	0x1403d4980	vtable slot
0x1403d8c60	0x1403d8c70	vtable slot
0x1403d8cb0	0x1403d8cc0	vtable slot
0x1403d8cf0	0x1403d8d00	vtable slot
0x1403d8d00	0x1403d8d10	vtable slot
0x1403d9020	0x1403d9030	vtable slot
0x1403d9030	0x1403d9040	vtable slot
0x1403d9100	0x1403d9110	vtable slot
0x1403d9470	0x1403d9480	vtable slot
0x1403d9480	0x1403d9490	vtable slot
0x1403d94b0	0x1403d94c0	vtable slot
0x1403d94c0	0x1403d94d0	vtable slot
0x1403d94d0	0x1403d94e0	vtable slot
0x1403d9510	0x1403d9520	vtable slot
0x1403d96a0	0x1403d96b0	vtable slot
0x1403d96e0	0x1403d96f0	vtable slot
0x1403d9700	0x1403d9710	vtable slot
0x1403d9710	0x1403d9720	vtable slot
0x1403d9910	0x1403d9920	vtable slot
0x1403d9920	0x1403d9930	vtable slot
0x1403d9930	0x1403d9940	vtable slot
0x1403d9940	0x1403d9950	vtable slot
0x1403d9950	0x1403d9960	vtable slot
0x1403d9970	0x1403d9980	vtable slot
0x1403d9980	0x1403d9990	vtable slot
0x1403d9990	0x1403d99a0	vtable slot
0x1403d99a0	0x1403d99b0	vtable slot
0x1403d99b0	0x1403d99c0	vtable slot
0x1403d99e0	0x1403d99f0	vtable slot
0x1403d9d60	0x1403d9d70	vtable slot
0x1403d9f20	0x1403d9f30	vtable slot
0x1403dddb0	0x1403dddc0	vtable slot
0x1403e80d0	0x1403e8150	vtable slot
0x1403e8170	0x1403e81f0	vtable slot
0x1403e81c0	0x1403e8240	vtable slot
0x1403e87b0	0x1403e8990	vtable slot
0x1403e87c0	0x1403e89a0	vtable slot
0x1403e87d0	0x1403e89b0	vtable slot
0x1403e87e0	0x1403e89c0	vtable slot
0x1403e8860	0x1403e8a40	vtable slot
0x1403e8a90	0x1403e8c70	vtable slot
0x1403e8ac0	0x1403e8ca0	vtable slot
0x1403e8ad0	0x1403e8cb0	vtable slot
0x1403e92b0	0x1403e9490	vtable slot
0x1403e92c0	0x1403e94a0	vtable slot
0x1403e9310	0x1403e94f0	vtable slot
0x1403e9320	0x1403e9500	vtable slot
0x1403e9330	0x1403e9510	vtable slot
0x1403e9380	0x1403e9560	vtable slot
0x1403e9390	0x1403e9570	vtable slot
0x1403e9410	0x1403e95f0	vtable slot
0x1403e94d0	0x1403e96b0	vtable slot
0x1403e9690	0x1403e9870	vtable slot
0x1403e96b0	0x1403e9890	vtable slot
0x1403e96c0	0x1403e98a0	vtable slot
0x1403e9860	0x1403e9a40	vtable slot
0x1403e9870	0x1403e9a50	vtable slot
0x1403e9880	0x1403e9a60	vtable slot
0x1403e9980	0x1403e9b60	vtable slot
0x1403e9c80	0x1403e9e60	vtable slot
0x1403e9d50	0x1403e9f30	vtable slot
0x1403e9d60	0x1403e9f40	vtable slot
0x1403e9d70	0x1403e9f50	vtable slot
0x1403e9d80	0x1403e9f60	vtable slot
0x1403e9d90	0x1403e9f70	vtable slot
0x1403e9da0	0x1403e9f80	vtable slot
0x1403ea110	0x1403ea2f0	vtable slot
0x1403ea150	0x1403ea330	vtable slot
0x1403ea180	0x1403ea360	vtable slot
0x1403ea240	0x1403ea420	vtable slot
0x1403ea2f0	0x1403ea4d0	vtable slot
0x1403ed530	0x1403ed710	vtable slot
0x1403eda50	0x1403edc80	vtable slot
0x1403eddb0	0x1403edfe0	vtable slot
0x1403ede20	0x1403ee050	vtable slot
0x1403ee090	0x1403ee2c0	vtable slot
0x1403ee180	0x1403ee3b0	vtable slot
0x1403ee210	0x1403ee440	vtable slot
0x1403ee390	0x1403ee5c0	vtable slot
0x1403eea40	0x1403eec70	vtable slot
0x1403eea50	0x1403eec80	vtable slot
0x1403eea60	0x1403eec90	vtable slot
0x1403eeb80	0x1403eedb0	vtable slot
0x1403eebd0	0x1403eee00	vtable slot
0x1403eebe0	0x1403eee10	vtable slot
0x1403eec80	0x1403eeeb0	vtable slot
0x1403eee10	0x1403ef040	vtable slot
0x1403eeeb0	0x1403ef0e0	vtable slot
0x1403eefb0	0x1403ef1e0	vtable slot
0x1403ef430	0x1403ef660	vtable slot
0x1403ef440	0x1403ef670	vtable slot
0x1403ef8d0	0x1403efb00	vtable slot
0x1403ef8e0	0x1403efb10	vtable slot
0x1403ef8f0	0x1403efb20	vtable slot
0x1403ef900	0x1403efb30	vtable slot
0x1403ef970	0x1403efba0	vtable slot
0x1403efa90	0x1403efcc0	vtable slot
0x1403efaa0	0x1403efcd0	vtable slot
0x1403efad0	0x1403efd00	vtable slot
0x1403efbb0	0x1403efde0	vtable slot
0x1403efbc0	0x1403efdf0	vtable slot
0x1403efdf0	0x1403f0020	vtable slot
0x1403f0230	0x1403f0460	vtable slot
0x1403f0320	0x1403f0550	vtable slot
0x1403f0370	0x1403f05a0	vtable slot
0x1403f0410	0x1403f0640	vtable slot
0x1403f0420	0x1403f0650	vtable slot
0x1403f0430	0x1403f0660	vtable slot
0x1403f0440	0x1403f0670	vtable slot
0x1403f0450	0x1403f0680	vtable slot
0x1403f0740	0x1403f0970	vtable slot
0x1403f07e0	0x1403f0a10	vtable slot
0x1403f09f0	0x1403f0c20	vtable slot
0x1403f0b20	0x1403f0d50	vtable slot
0x1403f0b30	0x1403f0d60	vtable slot
0x1403f0b80	0x1403f0db0	vtable slot
0x1403f0ed0	0x1403f1100	vtable slot
0x1403f1160	0x1403f1390	vtable slot
0x1403f1180	0x1403f13b0	vtable slot
0x1403f1190	0x1403f13c0	vtable slot
0x1403f12f0	0x1403f1520	vtable slot
0x1403f13b0	0x1403f15e0	vtable slot
0x1403f1950	0x1403f1b80	vtable slot
0x1403f19f0	0x1403f1c20	vtable slot
0x1403f1af0	0x1403f1d20	vtable slot
0x1403f1b50	0x1403f1d80	vtable slot
0x1403f1ca0	0x1403f1ed0	vtable slot
0x1403f1cb0	0x1403f1ee0	vtable slot
0x1403f1cc0	0x1403f1ef0	vtable slot
0x1403f1cd0	0x1403f1f00	vtable slot
0x1403f1cf0	0x1403f1f20	vtable slot
0x1403f1f20	0x1403f2150	vtable slot
0x1403f1f30	0x1403f2160	vtable slot
0x1403f1f40	0x1403f2170	vtable slot
0x1403f1f50	0x1403f2180	vtable slot
0x1403f1f60	0x1403f2190	vtable slot
0x1403f1f70	0x1403f21a0	vtable slot
0x1403f1f90	0x1403f21c0	vtable slot
0x1403f1fa0	0x1403f21d0	vtable slot
0x1403f2470	0x1403f26a0	vtable slot
0x1403f28c0	0x1403f2af0	vtable slot
0x1403f2900	0x1403f2b30	vtable slot
0x1403f2a10	0x1403f2c40	vtable slot
0x1403f2b60	0x1403f2d90	vtable slot
0x1403f2be0	0x1403f2e10	vtable slot
0x1403f2d20	0x1403f2f50	vtable slot
0x1403f2d30	0x1403f2f60	vtable slot
0x1403f36e0	0x1403f3910	vtable slot
0x1403f36f0	0x1403f3920	vtable slot
