thunk_va	size	arxan_target	kind	resolved_va	hops	refs
140120590	43	14510b7da	stub-return	14088bd66	0	call:1424faa14
1401205c0	43	1459749b2	reloc-body	1459749b2	0	disp:1406275b1,disp:1401205e2
140122cc0	250	1453ccf98	stub-return	140122d28	0	disp:14031c918,disp:140122da9
140122dc0	948	145c42631	stub-return	1429475b4	0	call:1401122d0
140123240	135	1450f72fa	stub-return	1402d39a4	2	
1401232d0	61	1454bc666	stub-return	1401232f0	0	call:14011e360
1401233f0	52	1457eb0f3	stub-return	1401233ff	0	call:142650a10,disp:14054db84,disp:140123416
140128190	59	145358e6e	stub-return	1401281b1	0	call:14011d160
14012b460	455	1458bc44f	stub-return	14012b602	0	call:1424fab30
14012b920	398	1453020d7	stub-return	1420605ef	0	disp:141e2ae9f,disp:142060621
14013f690	43	1451ea28e	stub-return	14013f6b2	0	
14013f6c0	76	1457a2731	stub-return	14013f6e7	0	call:1426653e0,disp:1457b256b,disp:14013f6fe
14014d160	43	14578ce55	reloc-body	14578ce55	0	disp:1405515e6,disp:14014d182
14014d190	122	144d60581	stub-return	14014d1a9	0	call:1418215d0,disp:14014d1b5,disp:14014d1fc
14014d210	132	144c54942	stub-return	14014d287	1	call:1424d2810,call:1404ef422
14014d320	277	145926983	stub-return	14014d33e	0	disp:144c66a9c,disp:14014d400
14014d440	95	145270c98	reloc-body	145270c98	0	disp:1400a5fd2,disp:14014d48c
140151b70	23	145893be1	stub-return	140151b79	0	call:140151b90
14015b8b0	42	14542eaa0	reloc-body	14542eaa0	0	disp:14509a664,disp:14015b95a
14015b95a	17	145ab87a3	stub-return	142947044	0	call:1401122d0
14015b970	123	145883f5a	stub-return	14015b97f	0	call:141ec7220,disp:144f2a5a6,disp:14015b9e5
14015b9f0	52	144f308ca	stub-return	14015b9ff	0	call:141ec0f60,disp:1454ee6ca,disp:14015ba16
14015ba30	296	145ab8581	stub-return	14053e4bd	0	call:1401b80d0
14015bb60	59	145348162	stub-return	14015bb81	0	call:14015bf70
14015bba0	152	144df3a49	stub-return	142685b6d	0	call:140154f10
14015bc40	86	1457595bf	stub-return	14015bc56	0	call:14015bba0,disp:14015bc63,disp:14015bc71
14015bca0	80	144e94090	stub-return	14015bcea	0	
14015bdc0	197	144dbcd5f	stub-return	14015be72	0	
14015be90	213	1455df694	stub-return	14015beb1	0	call:14015c6c0,call:14015d1b0,disp:14015bf14,disp:14015bf35
14015bf70	250	145997e1c	chain-deep	145997e1c	0	
14015c070	976	144d61c04	stub-return	1426d4545	0	disp:145820ccd,disp:14015c0d3
14015c500	165	1455ee905	stub-return	140361e60	2	disp:145704b71,disp:140361e78
14015c5b0	37	1459689b2	stub-return	14015c5c7	0	call:14015c940
14015c670	80	14568cff3	stub-return	142076a37	0	call:14015ce60
14015c6c0	277	1452051cd	stub-return	14015c6de	0	call:141eb9a30,call:141eb9af0,disp:14043da22,disp:14015c744
14015c7e0	19	1459a0b8b	reloc-body	1459a0b8b	0	disp:145654f04,disp:14015c871
14015c871	15	144fc9a5e	stub-return	140baf457	1	
14015c8b0	80	144f52d8d	reloc-body	144f52d8d	0	disp:141de8575,disp:14015c8fa
14015c940	139	14528401b	stub-return	14015c96d	0	call:14011f550,disp:14090b818,disp:14015c998
14015c9d0	274	1452feab6	stub-return	14015c9eb	0	call:141eb9a30,call:141eb9af0,disp:14016f1b2,disp:14015ca51
14015caf0	42	1452af2b5	stub-return	14015cb9a	0	
14015cb9a	17	145bb9fe9	stub-return	140823946	1	call:1424fab30
14015cbb0	123	1454b79c4	stub-return	14015cbbf	0	call:141ec7220,disp:144eb22ac,disp:14015cc25
14015cc30	545	144e1bc12	stub-return	140ac8973	0	disp:14015cc8f,disp:14015cc92
14015ce60	117	145316530	stub-return	14015ce86	1	disp:14015ce8c,disp:14015ce9a
14015cee0	715	145256d6f	stub-return	140194296	0	call:14015d2a0,disp:1451e69ab,disp:14015cf49
14015d1b0	175	145706a81	stub-return	14015d1e4	0	disp:14015d1e9,disp:14015d250
14015d260	52	145274703	stub-return	14015d26f	0	call:141ec0f60,disp:145747cd3,disp:14015d286
14015d2a0	126	145109538	stub-return	14015d2b8	0	call:14015d320,disp:144fd489b,disp:14015d313
14015d320	67	145a1206d	stub-return	14015d329	0	call:14015c9d0,disp:14073bc04,disp:14015d34a
1401604f0	104	145898a3a	stub-return	14016051c	0	call:1401605f0,disp:140160537,disp:140160545
140160560	137	145179936	stub-return	14016058d	0	disp:140508578,disp:1401605a9
1401605f0	115	1456d6829	stub-return	140160653	0	
1401606a0	272	144e3c14e	stub-return	1401606b9	0	disp:144f30b1c,disp:14016077b
140163050	217	1455fc281	stub-return	1401630a4	0	disp:14541af98,disp:1401630e2
140163130	281	1457e28df	stub-return	1402a4088	1	disp:140163176,disp:140163160
140163250	115	1450142f5	stub-return	140163267	0	call:140163540,call:140163850
1401632d0	106	1457d668e	chain-deep	1457d668e	0	
14016340e	300	14523d9c9	stub-return	14016343f	1	call:140163850,call:140163830
140163540	277	144d3a3a5	stub-return	14016355e	0	disp:14036a3dc,disp:140163589
1401636f0	42	144eb5e26	reloc-body	144eb5e26	0	disp:1456cb500,disp:14016379a
14016379a	17	1459a78b2	stub-return	1406e0c4e	0	call:1406e0470,call:1406e0520,call:14011dac0
1401637b0	123	14590d236	stub-return	1401637bf	0	call:141ec7220,disp:14578c90b,disp:140163825
140163890	52	144c679d3	stub-return	14016389f	0	call:141ec0f60,call:1424faa14
140163b60	7834	144df3dad	stub-return	140163b93	0	call:142661ef0,disp:145be5ef9,disp:140163bc3
140165a00	7834	14528550b	reloc-body	14528550b	1	
1401692c0	52	144da61fc	stub-return	1401692cf	0	call:142688ee0,call:1424faa14
14016f420	77	1454a473c	stub-return	14016f448	0	
14016f470	34	1453278c3	stub-return	14016f488	0	call:14016f4a0
14016f4a0	134	145580b02	stub-return	142667a2c	0	disp:142667a4e,disp:142667976
